AUDIT_ROW_ID,AUDIT_STATUS,SEVERITY,ISSUE_CODES,RECOMMENDED_ACTION,UID,CARD_ID,NORMALIZED_CARD_ID,NAME,SETS,SOURCE_ENTRY_ID,IMAGE_BASENAME,GALLERY_RARITY,COMPLETION_RARITY,GALLERY_HAS_STAR,COMPLETION_HAS_STAR,SOURCE_PREFIX_CARD_ID,SOURCE_PREFIX_SUFFIX,SOURCE_CARD_ID_MATCHES_GALLERY,SOURCE_HAS_VARIANT_MARKER,IMAGE_HAS_ALT_ART_MARKER,SHARES_IMAGE_WITH_NONSTAR_SIBLING,NONSTAR_SIBLING_UIDS,NOTES
star-alt-audit-001,needs_review,medium,completion_row_missing_gallery_star,Completion CSV should preserve row-specific gallery rarity for this variant instead of flattening to the Alpha sheet card-level rarity.,azuki_tcg_official_gallery:AZK01-028A_Soryu-no-Rin_E_SR_Die,AZK01-028,AZK01-028,Sōryū no Rin,Booster,AZK01-028A_Soryu-no-Rin_E_SR_Die,AZK01-028A_Soryu-no-Rin_E_SR_Die.jpg,SR ★,SR,true,false,AZK01-028,A,true,true,true,false,,"Official gallery row has star rarity, but Alpha-field completion row does not."
star-alt-audit-002,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-AZK01-034_Kira_E_C_die,AZK01-034,AZK01-034,Kira,Booster,S1-AZK01-034_Kira_E_C_die,S1-AZK01-034_Kira_E_C_die.jpg,C,C,false,false,AZK01-034,,true,false,true,false,,
star-alt-audit-003,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-AZK01-041_Wu-Cha_E_SR_die,AZK01-041,AZK01-041,Wu Cha,Booster,S1-AZK01-041_Wu-Cha_E_SR_die,S1-AZK01-041_Wu-Cha_E_SR_die.jpg,SR,SR,false,false,AZK01-041,,true,false,true,false,,
star-alt-audit-004,needs_review,medium,completion_row_missing_gallery_star,Completion CSV should preserve row-specific gallery rarity for this variant instead of flattening to the Alpha sheet card-level rarity.,azuki_tcg_official_gallery:AZK01-042A_Thunderclap_S_SR_TEX2_Die,AZK01-042,AZK01-042,Thunderclap,Booster,AZK01-042A_Thunderclap_S_SR_TEX2_Die,AZK01-042A_Thunderclap_S_SR_TEX2_Die.jpg,SR ★,SR,true,false,AZK01-042,A,true,true,true,false,,"Official gallery row has star rarity, but Alpha-field completion row does not."
star-alt-audit-005,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-AZK01-051_Chillax_E_UC_die,AZK01-051,AZK01-051,Chillax,Booster,S1-AZK01-051_Chillax_E_UC_die,S1-AZK01-051_Chillax_E_UC_die.jpg,UC,UC,false,false,AZK01-051,,true,false,true,false,,
star-alt-audit-006,needs_review,medium,completion_row_missing_gallery_star,Completion CSV should preserve row-specific gallery rarity for this variant instead of flattening to the Alpha sheet card-level rarity.,azuki_tcg_official_gallery:AZK01-054A_Teb-Fea_E_SR_Die,AZK01-054,AZK01-054,Teb Fea,Booster,AZK01-054A_Teb-Fea_E_SR_Die,AZK01-054A_Teb-Fea_E_SR_Die.jpg,SR ★,SR,true,false,AZK01-054,A,true,true,true,false,,"Official gallery row has star rarity, but Alpha-field completion row does not."
star-alt-audit-007,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-AZK01-054_Teb-Fea_E_SR_die,AZK01-054,AZK01-054,Teb Fea,Booster,S1-AZK01-054_Teb-Fea_E_SR_die,S1-AZK01-054_Teb-Fea_E_SR_die.jpg,SR,SR,false,false,AZK01-054,,true,false,true,false,,
star-alt-audit-008,needs_review,medium,completion_row_missing_gallery_star,Completion CSV should preserve row-specific gallery rarity for this variant instead of flattening to the Alpha sheet card-level rarity.,azuki_tcg_official_gallery:AZK01-064A_Zero_E_SR_Die,AZK01-064,AZK01-064,Zero,Booster,AZK01-064A_Zero_E_SR_Die,AZK01-064A_Zero_E_SR_Die.jpg,SR ★,SR,true,false,AZK01-064,A,true,true,true,false,,"Official gallery row has star rarity, but Alpha-field completion row does not."
star-alt-audit-009,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-AZK01-067_Frida_E_C_die,AZK01-067,AZK01-067,Frida,Booster,S1-AZK01-067_Frida_E_C_die,S1-AZK01-067_Frida_E_C_die.jpg,C,C,false,false,AZK01-067,,true,false,true,false,,
star-alt-audit-010,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-AZK01-079_Gin-and-Tonika_E_SR_die,AZK01-079,AZK01-079,Gin and Tonika,Booster,S1-AZK01-079_Gin-and-Tonika_E_SR_die,S1-AZK01-079_Gin-and-Tonika_E_SR_die.jpg,SR,SR,false,false,AZK01-079,,true,false,true,false,,
star-alt-audit-011,needs_review,high,source_entry_card_id_disagrees_with_gallery_card_id,Review gallery source row; image/source filename appears to identify a different card ID than the gallery card_id.,azuki_tcg_official_gallery:S1-AZK01-079A_Gin-and-Tonika_E_SR_die,AZK01-080,AZK01-080,Gin and Tonika,Booster,S1-AZK01-079A_Gin-and-Tonika_E_SR_die,S1-AZK01-079A_Gin-and-Tonika_E_SR_die.jpg,SR ★,SR ★,true,true,AZK01-079,A,false,true,true,false,,Parsed source/image card ID does not match gallery card_id after zero-padding normalization.
star-alt-audit-012,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-AZK01-084_Good-Enough-Replica_S_C_die,AZK01-084,AZK01-084,Good Enough Replica,Booster,S1-AZK01-084_Good-Enough-Replica_S_C_die,S1-AZK01-084_Good-Enough-Replica_S_C_die.jpg,C,C,false,false,AZK01-084,,true,false,true,false,,
star-alt-audit-013,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-AZK01-085_Invigorating-Concoction_S_C_die,AZK01-085,AZK01-085,Invigorating Concoction,Booster,S1-AZK01-085_Invigorating-Concoction_S_C_die,S1-AZK01-085_Invigorating-Concoction_S_C_die.jpg,C,C,false,false,AZK01-085,,true,true,true,false,,
star-alt-audit-014,needs_review,high,source_entry_card_id_disagrees_with_gallery_card_id,Review gallery source row; image/source filename appears to identify a different card ID than the gallery card_id.,azuki_tcg_official_gallery:S1-AZK01-087A_Mizuryuus-Torrent_S_SR_die,AZK01-088,AZK01-088,Mizuryuu's Torrent,Booster,S1-AZK01-087A_Mizuryuus-Torrent_S_SR_die,S1-AZK01-087A_Mizuryuus-Torrent_S_SR_die.jpg,SR ★,SR ★,true,true,AZK01-087,A,false,true,true,false,,Parsed source/image card ID does not match gallery card_id after zero-padding normalization.
star-alt-audit-015,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-AZK01-095_Stormglass-Katana_W_C_die,AZK01-095,AZK01-095,Stormglass Katana,Booster,S1-AZK01-095_Stormglass-Katana_W_C_die,S1-AZK01-095_Stormglass-Katana_W_C_die.jpg,C,C,false,false,AZK01-095,,true,false,true,false,,
star-alt-audit-016,needs_review,high,source_entry_card_id_disagrees_with_gallery_card_id; gallery_rarity_missing_star_for_variant_marker,Review gallery source row; image/source filename appears to identify a different card ID than the gallery card_id.,azuki_tcg_official_gallery:S1-AZK01-099A_Raikos-Wrath-Shin_E_SR_die,AZK01-100,AZK01-100,"Raiko's Wrath, Shin",Booster,S1-AZK01-099A_Raikos-Wrath-Shin_E_SR_die,S1-AZK01-099A_Raikos-Wrath-Shin_E_SR_die.jpg,SR,SR,false,false,AZK01-099,A,false,true,true,false,,Parsed source/image card ID does not match gallery card_id after zero-padding normalization.
star-alt-audit-017,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-AZK01-110_Gluttonous-Devourer-Kasha_E_UC_die,AZK01-110,AZK01-110,"Gluttonous Devourer, Kasha",Booster,S1-AZK01-110_Gluttonous-Devourer-Kasha_E_UC_die,S1-AZK01-110_Gluttonous-Devourer-Kasha_E_UC_die.jpg,UC,UC,false,false,AZK01-110,,true,false,true,false,,
star-alt-audit-018,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-AZK01-112A_Enrai-Shakunetsu_E_SR_die,AZK01-112,AZK01-112,Enrai Shakunetsu,Booster,S1-AZK01-112A_Enrai-Shakunetsu_E_SR_die,S1-AZK01-112A_Enrai-Shakunetsu_E_SR_die.jpg,SR,SR,false,false,AZK01-112,A,true,true,true,false,,
